ABS_TIME,CMD,ACT_TO_ACT,PRE_TO_ACT,CMD_TO_PRE,ACT_TO_PRE,RD_16,RD_32,WR_16,WR_32,CMD_UTIL,OPEN_rdutil,OPEN_wrutil,OPENRD_distutil,OPENWR_distutil,Z_act2act
273400,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
947200,PREpb,0,0,616200,673800,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
3676600,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
4935700,PREpb,0,0,1201400,1259100,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
4944600,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
5538400,ACTV,0,602700,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
6181200,PREpb,0,0,2446900,642800,0,0,0,0,32,0.0,0.0,0,0,-0.21946599565125405
7293600,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
7435400,PREpb,0,0,638000,2490800,7,1,6,4,22,0.0625,0.140625,1.6428571428571428,1.5555555555555556,-0.21946599565125405
7985000,PREpb,0,0,633700,691400,0,2,0,0,4,0.0625,0.0,1.0,0,-0.21946599565125405
8947000,ACTV,0,962000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
9607400,PREpb,0,0,602800,660400,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
9762700,ACTV,0,2327300,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
10644900,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
10715800,PREpb,0,0,638400,953100,1,0,0,1,20,0.015625,0.03125,0,0,-0.21946599565125405
10964100,PREpb,0,0,261600,319200,1,1,0,0,6,0.046875,0.0,1.0,0,-0.21946599565125405
14815700,ACTV,0,3851600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
14833400,ACTV,5070700,4117600,0,0,0,0,0,0,0,0,0,0,0,-0.14994605788803822
15511800,PREpb,0,0,634000,696100,0,2,0,0,24,0.0625,0.0,1.0,0,-0.21946599565125405
15525100,PREpb,0,0,611900,691700,0,1,0,0,4,0.03125,0.0,0,0,-0.21946599565125405
15990400,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
16682000,PREpb,0,0,633900,691600,0,2,0,0,10,0.0625,0.0,1.0,0,-0.21946599565125405
17435400,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
18263900,PREpb,0,0,2215800,2273500,0,0,0,0,8,0.0625,0.0,1.0,0,-0.21946599565125405
18951400,PREpb,0,0,669800,1516000,1,0,0,1,6,0.015625,0.03125,0,0,-0.21946599565125405
19443500,ACTV,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
20099800,PREpb,0,0,634100,656300,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
21097400,ACTV,0,997600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
21753400,PREpb,0,0,633800,656000,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
22923300,ACTV,22649900,21976100,0,0,0,0,0,0,0,0,0,0,0,0.09106699552216618
23596800,PREpb,0,0,651400,673500,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
24594500,ACTV,0,997700,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
24674300,ACTV,19135900,18493100,0,0,0,0,0,0,0,0,0,0,0,0.04288961147263843
25237400,PREpb,0,0,620700,642900,1,0,0,0,12,0.015625,0.0,0,0,-0.21946599565125405
25317100,PREpb,0,0,620600,642800,0,1,0,0,4,0.03125,0.0,0,0,-0.21946599565125405
28335500,ACTV,3661200,3018400,0,0,0,0,0,0,0,0,0,0,0,-0.16927048100067607
28978100,PREpb,0,0,620400,642600,1,0,0,0,18,0.015625,0.0,0,0,-0.21946599565125405
29913700,ACTV,0,935600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
30569700,PREpb,0,0,633900,656000,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
31699900,ACTV,16866500,16174800,0,0,0,0,0,0,0,0,0,0,0,0.011775850698023093
52925800,ACTV,21225900,37400700,0,0,0,0,0,0,0,0,0,0,0,0.0715437755772238
53568700,PREpb,0,0,620700,642900,2,0,0,0,12,0.015625,0.0,0,0,-0.21946599565125405
60079200,ACTV,35484700,34841800,0,0,0,0,0,0,0,0,0,0,0,0.26703372540232523
60752800,PREpb,0,0,616000,673600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
61448700,ACTV,0,695900,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
62122600,PREpb,0,0,616400,673900,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
63089000,ACTV,33175300,32519300,0,0,0,0,0,0,0,0,0,0,0,0.23537155957307668
63762900,PREpb,0,0,616300,673900,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
64969400,ACTV,0,1206500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
66658399,ACTV,0,57050999,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
67349900,PREpb,0,0,633800,691501,0,2,0,0,16,0.0625,0.0,1.0,0,-0.21946599565125405
68320900,ACTV,0,971000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
68994800,PREpb,0,0,2278700,673900,0,0,0,0,6,0.0,0.0,0,0,-0.21946599565125405
70022900,ACTV,0,54511100,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
70696600,PREpb,0,0,616100,673700,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
73701900,ACTV,0,3005300,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
74393300,PREpb,0,0,633700,691400,0,2,0,0,10,0.0625,0.0,1.0,0,-0.21946599565125405
